id ;collab AN;collab HATVP
jeanfrancoiscesarini;5;3
valeriepetit;3;3
stephaneclaireaux;3;4
stephanetrompille;3;3
remidelatte;3;4
sophieauconie;4;4
olivierdussopt;0;0
stephanetravert;0;0
stephanepeu;4;6
alexiscorbiere;2;2
stephanedemilly;2;1
julienaubert;5;5
dominiquepotier;4;4
hubertwulfranc;3;3
jeromelambert;2;3
christophelejeune;3;4
loickervran;3;3
sophieerrante;3;2
gaellebohec;3;2
pierrealainraphan;4;0
agnesthill;4;5
laetitiaromeirodias;2;1
herveberville;3;3
christophedipompeo;4;2
guillaumekasbarian;2;3
philippehuppe;3;3
olgagivernet;5;3
isabellemullerquoy;0;0
sandrinelefeur;3;4
yannickkerlogot;3;0
jeanmichelfauvergue;2;2
olivierdamaisin;4;0
cecilemuschotti;4;2
francoiscormierbouligeon;4;6
alexandrefreschi;3;3
michellarive;3;0
yvesjego;0;4
sergeletchimy;5;5
nicolelepeih;4;4
sylvietolmont;3;0
jeanlouisthieriot;2;0
brunolemaire;0;0
charlesdelaverpilliere;3;3
genevievelevy;3;3
jeanjacquesgaultier;4;4
cecileuntermaier;4;4
yaelbraunpivet;4;3
fabienroussel;4;6
jacquesbompard;0;0
philippevigier;4;4
philippegosselin;4;4
fredericdescrozaille;4;0
jeanmarczulesi;3;3
martialsaddier;4;5
jeanlouisbourlanges;4;2
didierparis;3;1
brigittebourguignon;5;5
pierredharreville;4;5
jeanpaullecoq;3;3
olivierfaure;2;2
juliendive;5;4
jeanmariesermier;3;5
gilbertcollard;3;3
philippelatombe;3;4
laurentpietraszewski;4;3
benedictetaurine;4;3
francoisruffin;5;5
agnesfirminlebodo;3;4
sabinerubin;4;4
moetaibrotherson;6;4
cendramotin;4;2
alainbruneel;5;1
oliviagregoire;3;3
emiliecariou;5;5
barbarapompili;4;4
mariettakaramanli;4;4
emiliebonnivard;3;1
catherineosson;4;3
francoispupponi;2;4
jeanlassalle;5;6
olivierdassault;5;6
jeanfrancoisparigi;3;2
bernarddeflesselles;2;3
thierrysolere;2;5
annechristinelang;3;3
benjamindirx;3;2
michelherbillon;3;2
annefrancebrunet;2;3
thierryrobert;0;13
micheletabarot;4;5
bernardreynes;5;5
loicdombreval;3;0
florianbachelier;4;5
romaingrau;3;3
michelecrouzet;3;2
yolainedecourson;4;4
yvesdaniel;3;3
sandrinejosso;5;4
michellauzzana;3;2
patriceperrot;3;2
pascalbois;4;1
