depute_nom,groupe_abrev,scrutin_num,scrutin_date,vote_position,vote_dissident,scrutin_groupe,scrutin_fulldesc,scrutin_dossierLibelle,scrutin_typeLibelle,scrutin_typedetail
Mme Valéria Faure-Muntian,LAREM,124,26/09/2017,absent,False,LR,Scrutin n° 124 du 26/09/2017 : l'amendement n° 52 de M. Larrivé après l'article 2 du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
Mme Valéria Faure-Muntian,LAREM,120,25/09/2017,absent,False,FI,Scrutin n° 120 du 25/09/2017 : l'amendement n° 245 de M. Bernalicis et l'amendement identique suivant à l'article premier du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
M. Jean-Michel Mis,LAREM,121,25/09/2017,absent,False,FI,Scrutin n° 121 du 25/09/2017 : l'amendement n° 247 de M. Bernalicis à l'article premier du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
M. Julien Borowczyk,LAREM,121,25/09/2017,absent,False,FI,Scrutin n° 121 du 25/09/2017 : l'amendement n° 247 de M. Bernalicis à l'article premier du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
M. Régis Juanico,SOC,121,25/09/2017,absent,False,FI,Scrutin n° 121 du 25/09/2017 : l'amendement n° 247 de M. Bernalicis à l'article premier du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
Mme Nathalie Sarles,LAREM,121,25/09/2017,absent,False,FI,Scrutin n° 121 du 25/09/2017 : l'amendement n° 247 de M. Bernalicis à l'article premier du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
M. Dino Cinieri,LR,121,25/09/2017,absent,False,FI,Scrutin n° 121 du 25/09/2017 : l'amendement n° 247 de M. Bernalicis à l'article premier du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
Mme Valéria Faure-Muntian,LAREM,121,25/09/2017,absent,False,FI,Scrutin n° 121 du 25/09/2017 : l'amendement n° 247 de M. Bernalicis à l'article premier du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
M. Julien Borowczyk,LAREM,30,12/07/2017,absent,False,Gouvernement,Scrutin n° 30 du 12/07/2017 : l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,article
M. Régis Juanico,SOC,30,12/07/2017,absent,False,Gouvernement,Scrutin n° 30 du 12/07/2017 : l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,article
Mme Nathalie Sarles,LAREM,30,12/07/2017,absent,False,Gouvernement,Scrutin n° 30 du 12/07/2017 : l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,article
M. Dino Cinieri,LR,30,12/07/2017,absent,False,Gouvernement,Scrutin n° 30 du 12/07/2017 : l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,article
M. Julien Borowczyk,LAREM,37,13/07/2017,contre,False,FI,Scrutin n° 37 du 13/07/2017 : l'amendement n° 148 de M. Lachaud et l'amendement identique suivant à l'article 4 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Jean-Michel Mis,LAREM,37,13/07/2017,absent,False,FI,Scrutin n° 37 du 13/07/2017 : l'amendement n° 148 de M. Lachaud et l'amendement identique suivant à l'article 4 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Régis Juanico,SOC,37,13/07/2017,absent,False,FI,Scrutin n° 37 du 13/07/2017 : l'amendement n° 148 de M. Lachaud et l'amendement identique suivant à l'article 4 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
Mme Nathalie Sarles,LAREM,37,13/07/2017,absent,False,FI,Scrutin n° 37 du 13/07/2017 : l'amendement n° 148 de M. Lachaud et l'amendement identique suivant à l'article 4 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Dino Cinieri,LR,37,13/07/2017,absent,False,FI,Scrutin n° 37 du 13/07/2017 : l'amendement n° 148 de M. Lachaud et l'amendement identique suivant à l'article 4 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
Mme Valéria Faure-Muntian,LAREM,37,13/07/2017,absent,False,FI,Scrutin n° 37 du 13/07/2017 : l'amendement n° 148 de M. Lachaud et l'amendement identique suivant à l'article 4 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Julien Borowczyk,LAREM,36,13/07/2017,contre,False,NG,Scrutin n° 36 du 13/07/2017 : l'amendement n° 475 de M. Vallaud après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
Mme Valéria Faure-Muntian,LAREM,36,13/07/2017,contre,False,NG,Scrutin n° 36 du 13/07/2017 : l'amendement n° 475 de M. Vallaud après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Jean-Michel Mis,LAREM,36,13/07/2017,contre,False,NG,Scrutin n° 36 du 13/07/2017 : l'amendement n° 475 de M. Vallaud après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Régis Juanico,SOC,36,13/07/2017,absent,False,NG,Scrutin n° 36 du 13/07/2017 : l'amendement n° 475 de M. Vallaud après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
Mme Nathalie Sarles,LAREM,36,13/07/2017,absent,False,NG,Scrutin n° 36 du 13/07/2017 : l'amendement n° 475 de M. Vallaud après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Dino Cinieri,LR,36,13/07/2017,absent,False,NG,Scrutin n° 36 du 13/07/2017 : l'amendement n° 475 de M. Vallaud après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Julien Borowczyk,LAREM,35,13/07/2017,contre,False,GDR,Scrutin n° 35 du 13/07/2017 : l'amendement n° 330 de M. Dharréville après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
Mme Valéria Faure-Muntian,LAREM,35,13/07/2017,contre,False,GDR,Scrutin n° 35 du 13/07/2017 : l'amendement n° 330 de M. Dharréville après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Jean-Michel Mis,LAREM,35,13/07/2017,contre,False,GDR,Scrutin n° 35 du 13/07/2017 : l'amendement n° 330 de M. Dharréville après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Dino Cinieri,LR,35,13/07/2017,contre,False,GDR,Scrutin n° 35 du 13/07/2017 : l'amendement n° 330 de M. Dharréville après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Régis Juanico,SOC,35,13/07/2017,absent,False,GDR,Scrutin n° 35 du 13/07/2017 : l'amendement n° 330 de M. Dharréville après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
Mme Nathalie Sarles,LAREM,35,13/07/2017,absent,False,GDR,Scrutin n° 35 du 13/07/2017 : l'amendement n° 330 de M. Dharréville après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Jean-Michel Mis,LAREM,34,13/07/2017,absent,False,GDR,Scrutin n° 34 du 13/07/2017 : l'amendement n°335 de M. Dharréville après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Julien Borowczyk,LAREM,34,13/07/2017,absent,False,GDR,Scrutin n° 34 du 13/07/2017 : l'amendement n°335 de M. Dharréville après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Régis Juanico,SOC,34,13/07/2017,absent,False,GDR,Scrutin n° 34 du 13/07/2017 : l'amendement n°335 de M. Dharréville après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
Mme Nathalie Sarles,LAREM,34,13/07/2017,absent,False,GDR,Scrutin n° 34 du 13/07/2017 : l'amendement n°335 de M. Dharréville après l'article 3 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
